Folder,Side,Surface Model,Centerline Model,Curve 0,Curve 1,Curve 2,CSV 0,CSV 1,CSV 2
topcow_ct_001,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_003,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_010,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_015,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_021,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_023,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_024,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_028,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_033,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_044,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_047,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_063,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_083,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_133,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_145,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_ct_159,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_003,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_004,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_010,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_014,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_015,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_021,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_023,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_024,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_033,L,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_044,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_063,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_083,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_133,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_145,R,✅,❌,❌,❌,❌,❌,❌,❌
topcow_mr_162,R,✅,❌,❌,❌,❌,❌,❌,❌
