Case_ID,Side,Curve1_RAS_S_Avg,Curve2_RAS_S_Avg,Curve1_RAS_R_Avg,Curve2_RAS_R_Avg,Superior Curve,RAS_S Diff,RAS_R Alignment Check
ct_001,R,-132.01,-108.83,14.63,-17.07,curve2,23.18,✅
ct_002,L,1522.95,1511.92,12.21,-17.87,curve1,11.03,✅
ct_002,R,1507.07,1521.85,42.04,12.11,curve2,14.78,✅
ct_003,R,-162.19,-191.43,-8.67,25.27,curve1,29.24,✅
ct_004,L,-82.97,-58.62,-56.69,-33.26,curve2,24.35,✅
ct_004,R,-58.23,-84.75,-30.04,5.35,curve1,26.52,✅
ct_005,L,-112.32,-102.47,-31.83,-7.64,curve2,9.85,✅
ct_005,R,-118.43,-101.24,21.37,-6.19,curve2,17.19,✅
ct_006,L,-146.34,-143.84,-16.26,8.31,curve2,2.5,✅
ct_006,R,-129.9,-150.24,7.01,38.86,curve1,20.34,✅
ct_007,L,-155.38,-137.76,-31.42,-3.34,curve2,17.62,✅
ct_007,R,-157.85,-136.7,32.29,-1.18,curve2,21.16,✅
ct_008,L,-183.27,-172.52,-41.27,-9.69,curve2,10.76,✅
ct_008,R,-191.95,-172.92,20.48,-8.8,curve2,19.03,✅
ct_009,L,-165.56,-138.07,-20.69,8.24,curve2,27.49,✅
ct_009,R,-151.6,-143.7,41.21,9.1,curve2,7.9,✅
ct_010,L,-160.06,-144.35,-25.18,-2.26,curve2,15.71,✅
ct_011,L,-262.03,-251.83,-25.36,1.07,curve2,10.2,✅
ct_011,R,-251.66,-269.88,2.64,22.96,curve1,18.22,✅
ct_012,L,-179.76,-163.08,-36.58,-5.91,curve2,16.67,✅
ct_012,R,-183.44,-162.2,28.62,-3.09,curve2,21.24,✅
ct_013,L,179.75,194.24,-35.15,-9.5,curve2,14.48,✅
ct_013,R,171.46,193.99,19.24,-8.91,curve2,22.52,✅
ct_014,L,-65.45,-50.39,-21.44,10.06,curve2,15.06,✅
ct_014,R,-68.68,-53.1,36.8,13.22,curve2,15.58,✅
ct_015,L,-83.21,-63.31,-33.25,-8.08,curve2,19.9,✅
ct_016,L,96.66,116.75,-25.39,-2.09,curve2,20.09,✅
ct_016,R,116.1,101.38,0.5,29.17,curve1,14.72,✅
ct_017,L,548.08,569.44,-43.96,-17.54,curve2,21.36,✅
ct_017,R,569.16,543.91,-15.42,10.39,curve1,25.25,✅
ct_018,L,69.89,89.93,-33.16,-7.79,curve2,20.04,✅
ct_018,R,92.32,74.28,-6.32,27.47,curve1,18.04,✅
ct_019,L,-602.61,-591.47,-23.27,6.31,curve2,11.14,✅
ct_019,R,-602.95,-589.4,38.56,8.33,curve2,13.54,✅
ct_020,L,54.14,66.17,-28.91,-5.74,curve2,12.03,✅
ct_020,R,63.81,55.29,-3.6,28.69,curve1,8.52,✅
ct_021,L,-302.18,-299.98,-15.48,7.95,curve2,2.21,✅
ct_022,L,-258.81,-244.08,-21.63,1.35,curve2,14.72,✅
ct_022,R,-264.7,-240.18,34.96,4.27,curve2,24.52,✅
ct_023,R,-272.85,-255.95,33.19,0.58,curve2,16.9,✅
ct_024,L,1491.83,1513.01,-60.06,-29.34,curve2,21.17,✅
ct_025,L,-96.13,-72.92,-38.4,-5.47,curve2,23.21,✅
ct_025,R,-72.86,-102.42,-2.29,27.3,curve1,29.56,✅
ct_026,L,-196.52,-183.45,-25.2,2.91,curve2,13.07,✅
ct_026,R,-190.75,-183.38,33.81,4.64,curve2,7.37,✅
ct_027,L,-40.83,-32.75,-19.01,4.77,curve2,8.08,✅
ct_027,R,-47.24,-35.0,32.94,5.05,curve2,12.24,✅
ct_028,L,-26.54,-9.32,-35.48,-0.89,curve2,17.22,✅
ct_029,L,-94.53,-89.6,-27.86,10.87,curve2,4.93,✅
ct_029,R,-86.7,-97.82,11.02,29.73,curve1,11.12,✅
ct_030,L,-143.3,-125.79,-27.66,3.87,curve2,17.51,✅
ct_030,R,-141.49,-125.29,30.54,6.26,curve2,16.21,✅
ct_031,L,-66.15,-55.23,-27.53,2.41,curve2,10.91,✅
ct_031,R,-67.22,-56.87,36.73,3.9,curve2,10.35,✅
ct_032,L,16.59,0.06,-4.02,-24.57,curve1,16.53,✅
ct_032,R,18.45,8.1,-4.07,26.37,curve1,10.35,✅
ct_033,R,-21.49,-32.92,11.52,42.75,curve1,11.44,✅
ct_034,L,-48.96,-37.26,-12.64,9.5,curve2,11.7,✅
ct_034,R,-55.38,-38.19,39.76,9.75,curve2,17.2,✅
ct_035,L,-288.25,-276.12,-47.84,-22.48,curve2,12.12,✅
ct_035,R,-276.04,-287.88,-21.33,5.15,curve1,11.83,✅
ct_036,L,-15.96,2.7,-23.69,3.78,curve2,18.66,✅
ct_036,R,-15.69,5.0,37.04,5.63,curve2,20.69,✅
