Model_ID,ICA_CE_Radius,MCA_CE_Radius,ACA_CE_Radius,Murray_Deviation_Percent,Murray_Exponent_k_minimize,Murray_Exponent_k_root
ct_001_R,2.36795,1.790661,1.41717,35.32,1.80437,1.80437
ct_002_L,1.981614,1.95272475,1.48941775,-38.151,0.5,7.79105
ct_002_R,1.7183784999999996,1.8569015,1.3970507499999998,-79.924,0.5,
ct_003_R,2.12347925,1.81698625,1.2725085000000005,15.832,2.32518,2.32518
ct_004_L,2.1644217500000003,1.6694559999999998,1.5274992499999998,18.963,2.29652,2.29652
ct_004_R,2.17789225,1.6891745,1.235291,35.096,1.78163,1.78163
ct_005_L,2.08558975,1.9548895,1.4566772499999998,-16.426,4.07381,4.07381
ct_005_R,2.038511666666667,1.88121425,1.281815,-3.453,3.19989,3.19989
ct_006_L,1.59229425,1.4036575,0.8462590000000001,16.484,2.2265,2.2265
ct_006_R,1.63880925,1.4818815,1.03609975,0.793,2.95858,2.95859
ct_007_L,2.25146325,1.56817575,1.06540875,55.614,1.30583,1.30583
ct_007_R,2.2517375,1.65096225,1.2771457499999996,42.339,1.62948,1.62947
ct_008_L,1.9178492500000004,1.5319472500000002,0.6682452500000001,44.803,1.30155,1.30155
ct_008_R,1.9822065,1.584382,0.7901910000000001,42.599,1.41622,1.41622
ct_009_L,2.3611085,1.800299,1.517949,29.099,1.98444,1.98445
ct_009_R,2.042135,1.44450125,0.29351425,64.311,0.75661,0.75661
ct_010_L,2.375682916666667,1.3578137500000005,1.4835684999999998,56.976,1.34906,1.34906
ct_011_L,1.65614725,1.5269309999999998,1.09317,-7.131,3.41367,3.41367
ct_011_R,1.60892,1.56069575,1.1555915,-28.327,5.60038,5.60038
ct_012_L,1.9940562500000003,1.82464275,1.2546405,-1.525,3.08426,3.08426
ct_012_R,2.3119365,1.842506,1.47920325,23.191,2.13942,2.13942
ct_013_L,2.02809525,1.4408172222222222,1.46598,26.376,2.08057,2.08057
ct_013_R,1.91442225,1.397918,0.4874329999999999,59.415,0.97405,0.97405
ct_014_L,1.9559152500000003,1.54357975,1.22904625,26.037,2.05392,2.05391
ct_014_R,1.85638625,1.573761,0.615792725,35.423,1.41896,1.41896
ct_015_L,2.1064075,1.5289752500000002,1.75744075,3.677,2.8418,2.8418
ct_016_L,1.6831997499999996,1.3852415,0.7472002499999999,35.512,1.61348,1.61348
ct_016_R,1.6462642500000002,1.241443,0.78090425,46.444,1.45743,1.45743
ct_017_L,2.03535425,1.3700994999999998,0.98263275,58.245,1.27291,1.27291
ct_017_R,2.46990775,1.5228722499999996,1.335132,60.765,1.26805,1.26805
ct_018_L,2.29903175,1.6851249999999998,1.18305325,46.995,1.49243,1.49243
ct_018_R,2.56908875,1.56401575,0.90892075,73.009,0.94532,0.94532
ct_019_L,2.0671363888888887,1.6145935000000002,1.1332080000000002,35.873,1.74518,1.74518
ct_019_R,2.212482500000001,1.71843875,1.38241625,28.751,1.98124,1.98124
ct_020_L,1.76745925,1.3166109999999995,0.82515725,48.489,1.41401,1.41402
ct_020_R,1.72023,1.213739,0.93534075,48.8,1.48586,1.48586
ct_021_L,2.61929175,2.1691425,2.1601902499999994,-12.89,3.63605,3.63605
ct_022_L,2.44031625,2.281480833333333,1.9793795000000003,-35.081,0.5,5.56077
ct_022_R,2.46912725,2.0327005,1.3301197500000002,28.573,1.89927,1.89927
ct_023_R,1.96995575,1.5162637499999998,1.4199965,16.948,2.36335,2.36336
ct_024_L,1.984161388888889,1.6403875,1.4127565,7.395,2.69184,2.69184
ct_025_L,2.1988945,1.7153037499999997,1.62271175,12.342,2.51924,2.51924
ct_025_R,2.0275922222222222,1.9242535,1.404289,-18.698,4.3398,4.3398
ct_026_L,1.9400205000000004,1.4310570000000002,1.060848,43.512,1.58859,1.58859
ct_026_R,1.9810605,1.6748282500000002,1.1862435000000002,18.105,2.25274,2.25274
ct_027_L,1.897685,1.6090767500000005,1.1511835,16.715,2.30367,2.30367
